Training-Test-Split,Aktivierungsfunktion,Trainingsdurchgang,Trainingszeit,validation accuracy,test accuracy
50-50,tanh,49,88.6,0.9773,0.9406
70-30,tanh,49,99.4,0.9856,0.9602
90-10,tanh,49,112.0,0.9923,0.9656
50-50,sigmoid,49,87.1,0.5317,0.524
70-30,sigmoid,49,100.4,0.7629,0.751
90-10,sigmoid,49,112.1,0.9842,0.9573
50-50,relu,49,85.2,0.9913,0.9616
70-30,relu,49,97.2,0.9948,0.9748
90-10,relu,49,109.3,0.9758,0.9439
50-50,tanh,50,88.1,0.9799,0.9497
70-30,tanh,50,98.8,0.9844,0.9599
90-10,tanh,50,117.6,0.9903,0.9652
50-50,sigmoid,50,88.2,0.8708,0.8521
70-30,sigmoid,50,100.0,0.8007,0.7781
90-10,sigmoid,50,112.2,0.711,0.6943
50-50,relu,50,86.0,0.9935,0.9762
70-30,relu,50,98.1,0.9963,0.9698
90-10,relu,50,111.0,0.9944,0.9698
